# time  ID  size  fromHost  toHost  TTL  isResponse
31588.0000 M423 69098 s32 d0 300 N 
31674.0000 M424 58700 s35 d0 300 N 
31744.0000 M425 71708 s12 d0 300 N 
31826.0000 M426 95344 s40 d0 300 N 
31893.0000 M427 75542 s41 d0 300 N 
31978.0000 M428 64807 s20 d0 300 N 
32067.0000 M429 81807 s16 d0 300 N 
32141.0000 M430 75717 s13 d0 300 N 
32220.0000 M431 76491 s13 d0 300 N 
32308.0000 M432 75068 s14 d0 300 N 
32370.0000 M433 55888 s30 d0 300 N 
32442.0000 M434 79869 s15 d0 300 N 
32514.0000 M435 78152 s37 d0 300 N 
32593.0000 M436 92309 s23 d0 300 N 
32682.0000 M437 86799 s21 d0 300 N 
32751.0000 M438 56197 s21 d0 300 N 
32821.0000 M439 51809 s37 d0 300 N 
32884.0000 M440 90364 s37 d0 300 N 
32960.0000 M441 70117 s31 d0 300 N 
33045.0000 M442 84156 s44 d0 300 N 
33110.0000 M443 75771 s35 d0 300 N 
33185.0000 M444 77696 s17 d0 300 N 
33248.0000 M445 90047 s19 d0 300 N 
33315.0000 M446 86149 s13 d0 300 N 
33397.0000 M447 51482 s9 d0 300 N 
33480.0000 M448 84364 s15 d0 300 N 
33564.0000 M449 60188 s26 d0 300 N 
33643.0000 M450 83390 s42 d0 300 N 
33732.0000 M451 91728 s30 d0 300 N 
33821.0000 M452 97599 s42 d0 300 N 
33891.0000 M453 62845 s30 d0 300 N 
33961.0000 M454 54326 s35 d0 300 N 
34050.0000 M455 56924 s40 d0 300 N 
34110.0000 M456 71375 s36 d0 300 N 
34189.0000 M457 51266 s38 d0 300 N 
34266.0000 M458 64563 s39 d0 300 N 
34338.0000 M459 73045 s27 d0 300 N 
34415.0000 M460 66575 s31 d0 300 N 
34485.0000 M461 97012 s24 d0 300 N 
34545.0000 M462 66312 s18 d0 300 N 
34614.0000 M463 93194 s23 d0 300 N 
34677.0000 M464 79688 s43 d0 300 N 
34758.0000 M465 75180 s27 d0 300 N 
34842.0000 M466 82781 s25 d0 300 N 
34912.0000 M467 87040 s9 d0 300 N 
34979.0000 M468 83852 s35 d0 300 N 
35054.0000 M469 76550 s9 d0 300 N 
35141.0000 M470 92224 s31 d0 300 N 
35215.0000 M471 59615 s9 d0 300 N 
35276.0000 M472 99662 s27 d0 300 N 
35362.0000 M473 75850 s32 d0 300 N 
35422.0000 M474 90721 s21 d0 300 N 
35482.0000 M475 96385 s24 d0 300 N 
35544.0000 M476 92838 s14 d0 300 N 
35633.0000 M477 70608 s36 d0 300 N 
35713.0000 M478 99507 s16 d0 300 N 
35799.0000 M479 53504 s25 d0 300 N 
35883.0000 M480 91657 s25 d0 300 N 
35967.0000 M481 92262 s17 d0 300 N 
36052.0000 M482 59702 s34 d0 300 N 
36113.0000 M483 69507 s33 d0 300 N 
36182.0000 M484 88478 s26 d0 300 N 
36242.0000 M485 69001 s19 d0 300 N 
36311.0000 M486 54218 s23 d0 300 N 
36396.0000 M487 58012 s31 d0 300 N 
36477.0000 M488 95236 s14 d0 300 N 
36548.0000 M489 92389 s40 d0 300 N 
36622.0000 M490 69717 s41 d0 300 N 
36705.0000 M491 73002 s26 d0 300 N 
36779.0000 M492 84727 s17 d0 300 N 
36858.0000 M493 85522 s15 d0 300 N 
36934.0000 M494 52700 s41 d0 300 N 
37002.0000 M495 96110 s25 d0 300 N 
37084.0000 M496 68009 s29 d0 300 N 
37146.0000 M497 74691 s38 d0 300 N 
37214.0000 M498 61112 s29 d0 300 N 
37297.0000 M499 63268 s28 d0 300 N 
37358.0000 M500 86262 s31 d0 300 N 
37429.0000 M501 89477 s27 d0 300 N 
37511.0000 M502 93496 s37 d0 300 N 
37577.0000 M503 74585 s36 d0 300 N 
37648.0000 M504 72041 s39 d0 300 N 
37729.0000 M505 53802 s30 d0 300 N 
37803.0000 M506 96700 s38 d0 300 N 
37892.0000 M507 61579 s23 d0 300 N 
37963.0000 M508 79779 s25 d0 300 N 
38052.0000 M509 54888 s27 d0 300 N 
38135.0000 M510 71273 s13 d0 300 N 
38218.0000 M511 61193 s12 d0 300 N 
38285.0000 M512 60514 s24 d0 300 N 
38346.0000 M513 62426 s41 d0 300 N 
38410.0000 M514 91231 s31 d0 300 N 
38495.0000 M515 74768 s17 d0 300 N 
38582.0000 M516 91814 s22 d0 300 N 
38642.0000 M517 63514 s38 d0 300 N 
38702.0000 M518 78832 s32 d0 300 N 
38762.0000 M519 89383 s40 d0 300 N 
38830.0000 M520 80855 s23 d0 300 N 
38904.0000 M521 53553 s39 d0 300 N 
38972.0000 M522 96451 s30 d0 300 N 
39048.0000 M523 69232 s40 d0 300 N 
39123.0000 M524 56139 s11 d0 300 N 
39191.0000 M525 77059 s28 d0 300 N 
39276.0000 M526 71454 s21 d0 300 N 
39338.0000 M527 95972 s10 d0 300 N 
39424.0000 M528 65148 s29 d0 300 N 
39494.0000 M529 67795 s12 d0 300 N 
39575.0000 M530 80602 s32 d0 300 N 
39639.0000 M531 61137 s32 d0 300 N 
39727.0000 M532 57534 s25 d0 300 N 
39812.0000 M533 70407 s8 d0 300 N 
39876.0000 M534 85176 s12 d0 300 N 
39954.0000 M535 60603 s14 d0 300 N 
40023.0000 M536 64199 s42 d0 300 N 
40096.0000 M537 70353 s11 d0 300 N 
40179.0000 M538 74136 s29 d0 300 N 
40252.0000 M539 75156 s26 d0 300 N 
40324.0000 M540 81889 s41 d0 300 N 
40398.0000 M541 54659 s17 d0 300 N 
40482.0000 M542 56578 s9 d0 300 N 
40559.0000 M543 54322 s34 d0 300 N 
40639.0000 M544 60209 s21 d0 300 N 
40728.0000 M545 63140 s20 d0 300 N 
40815.0000 M546 77989 s16 d0 300 N 
40885.0000 M547 87620 s9 d0 300 N 
40952.0000 M548 89570 s33 d0 300 N 
41039.0000 M549 79084 s14 d0 300 N 
41120.0000 M550 80277 s22 d0 300 N 
41200.0000 M551 53144 s36 d0 300 N 
41289.0000 M552 52148 s31 d0 300 N 
41357.0000 M553 65281 s14 d0 300 N 
41425.0000 M554 71865 s32 d0 300 N 
41489.0000 M555 70292 s33 d0 300 N 
41560.0000 M556 72070 s40 d0 300 N 
41646.0000 M557 86037 s42 d0 300 N 
41732.0000 M558 83146 s11 d0 300 N 
41809.0000 M559 85430 s37 d0 300 N 
41874.0000 M560 86572 s33 d0 300 N 
41956.0000 M561 56438 s35 d0 300 N 
42024.0000 M562 70479 s19 d0 300 N 
42089.0000 M563 89267 s37 d0 300 N 
42166.0000 M564 53746 s26 d0 300 N 
42235.0000 M565 56217 s19 d0 300 N 
42317.0000 M566 89852 s39 d0 300 N 
42395.0000 M567 95697 s16 d0 300 N 
42457.0000 M568 66422 s19 d0 300 N 
42522.0000 M569 91066 s41 d0 300 N 
42584.0000 M570 93875 s10 d0 300 N 
42664.0000 M571 78778 s14 d0 300 N 
42728.0000 M572 75324 s19 d0 300 N 
42809.0000 M573 94491 s17 d0 300 N 
42885.0000 M574 92779 s31 d0 300 N 
42952.0000 M575 80373 s28 d0 300 N 
43020.0000 M576 75764 s18 d0 300 N 
43098.0000 M577 71776 s21 d0 300 N 
43179.0000 M578 55829 s38 d0 300 N 
